id	area	current_state	first_usable_target	later_target	authority
rest.foundation	REST	Problem Details, correlation/idempotency, deterministic OpenAPI, auth filtering, and cursor contracts implemented	Expand desired-state mutations and durable runtime-operation resources	Complete identity/RBAC and generated React/CLI clients	docs/design/rest-api.md
rest.reads	REST	System, Agents, queue, builds, details, audit, facts, and projected result reads implemented	Projects, configurations, logs, tests, and artifact metadata	History, richer search, and complete permission introspection	docs/design/rest-api.md
agent.handshake	Agent API/SDK	Capability/version negotiation, credential/connection generations, and canonical bounded system facts implemented	Previous-release rolling compatibility proof	Long-lived SDK compatibility matrix	docs/design/agent-api-sdk.md
agent.packages	Deployment	Self-contained projects exist; no controller package catalog	Immutable per-RID package catalog, manifest, digest, authenticated byte range	Signed release index and side-loaded dev packages	docs/design/agent-api-sdk.md
agent.enrollment	Deployment	Manual Agent launch and token plumbing	Short-lived stamped ZIP with trusted controller fingerprint, seed package, and enrollment credential	Authenticated setup.ps1/setup.sh one-liners	docs/walkthrough.md
agent.bootstrap	Deployment	Prototype fetches unauthenticated manifest; controller endpoint absent	Scoped authenticated manifest/package fetch, atomic activation, LKG rollback, health reconnection	Release channels and staged policy	docs/ARCHITECTURE.md
platform.install	Platform	Manual foreground launch	Foreground plus persistent host install contract; macOS exercised on real machine; all RIDs packaged and deterministically tested	Windows service, systemd, launchd release-grade upgrade/uninstall evidence	docs/design/platform.md
agentexplorer.list	AgentExplorer	Basic Blazor Agent administration	React searchable Agents collection with four status axes, capabilities, facts, freshness, version, activity	Saved views and durable operation summaries	docs/design/agent-explorer.md
agentexplorer.detail	AgentExplorer	Basic name and parameter detail	Stable per-Agent route with local summary/history/compatibility/inventory/log/parameter tabs	Metrics and durable remote operation history	docs/design/agent-explorer.md
teamcity.queue	TeamCity	Durable FIFO queue/builds/cancel/results exist	REST/React parity for queue, parent/child builds, provenance, logs and artifacts	Chains, rerun-original/current, richer policies	docs/design/teamcity.md
teamcity.catalog	TeamCity	No Git-backed project/config catalog	Read-only project/config projection after Git gateway	Full ordered steps, VCS, parameters, requirements, templates	docs/design/teamcity.md
ui.shell	UI	Transitional Blazor panel	Top application bar, workspace switch rail, expandable context pane, routed TeamCity-style page, REST client	Blazor removal after named parity	docs/design/ui.md
ui.deployment	UI	No download/deployment screens	Deploy Agent flow, pending authorization, packages/rollout health	Release channel policy and staged rollout controls	docs/design/ui.md
git.gateway	Git/versioning	Managed-local repository, commit-before-activate/LKG reconciliation, atomic mutations, Agent enablement, User, and direct built-in RoleBinding documents implemented	Project and Build Configuration desired state	All desired configuration, remote review, and release policy	docs/design/git-versioning.md
security.admin	Security/Admin	Resumable first claim, named administrator, direct built-in Git RoleBindings, credential-generation checks, and bounded Superuser recovery implemented	General user/role mutations and legacy-token migration	Groups, service identities, PATs, custom roles, and external providers	docs/design/first-run-administration.md
persistence.deploy	Persistence	SQLite migrations/audit exist	Package metadata, enrollment issuance, rollout/health records; bytes in blob directory	Retention, cleanup, signed release lineage	docs/design/persistence.md
scheduling.deploy	Scheduling	One build per Agent and reconnect leases exist	Upgrade drain waits for active build; restart/reconnect is fenced per Agent	Fleet rollout policy and provider ordering	docs/design/scheduling-coordination.md
tests.two-agent	Verification	Protocol suite exercises sessions but deployment is manual	Two independent logical Agents plus one real installed Agent acceptance	Real Windows/Linux/macOS install-upgrade matrix	docs/DEVELOPMENT.md
